CIK,Fund,Manager,Denomination,CIKs,URL,Fund_zh,Manager_zh,Description,Description_zh,Popularity
1350694,Bridgewater Associates,Ray Dalio,"Bridgewater Associates, LP",,https://www.bridgewater.com/,达里奥,瑞·达里奥,Bridgewater Associates founder. Known for 'All Weather' strategy.,桥水基金 (Bridgewater) 创始人。全球最大对冲基金，开创了“全天候策略” (All Weather Strategy)。,90
1649339,Scion Asset Management,Michael Burry,"Scion Asset Management, LLC",,https://www.scionasset.com/,贝瑞,迈克尔·贝瑞,Scion Asset Management founder. 'The Big Short' protagonist.,Scion Asset Management 创始人。《大空头》原型，专注于寻找被市场忽视的微型股。,85
1562087,Thiel Macro,Peter Thiel,Thiel Macro LLC,,https://www.linkedin.com/company/thiel-macro,,,,,0
1697748,ARK Invest,Cathie Wood,ARK Investment Management LLC,,https://www.ark-invest.com/,,,,,0
1336528,Pershing Square,Bill Ackman,"Pershing Square Capital Management, L.P.",,https://pershingsquareholdings.com/,,,,,0
1218710,Balyasny Asset Management,Dmitry Balyasny,Balyasny Asset Management L.P.,,https://www.bamfunds.com/,,,,,0
1352851,Magnetar Capital,Alec Litowitz,Magnetar Financial LLC,,https://www.magnetar.com/,,,,,0
1167557,AQR Capital Management,Cliff Asness,"AQR Capital Management, LLC",,https://www.aqr.com/,,,,,0
1656456,Appaloosa,David Tepper,Appaloosa LP,,https://www.appaloosawm.com/,,,,,0
1273087,Millennium Management,Israel Englander,Millennium Management LLC,,https://www.mlp.com/,,,,,0
1020066,Sands Capital Management,Frank Sands,"Sands Capital Management, LLC",,https://www.sandscapital.com/,,,,,0
1056823,Horizon Kinetics,Murray Stahl,Horizon Kinetics Asset Management LLC,,https://horizonkinetics.com/,,,,,0
1332784,Silver Point Capital,Edward Mule,"Silver Point Capital, L.P.",,https://www.silverpointcapital.com/,,,,,0
1358706,Abrams Capital Management,David Abrams,"Abrams Capital Management, L.P.",,https://www.abramscapital.com/,,,,,0
1418814,ValueAct Capital,Jeffrey Ubben,"ValueAct Holdings, L.P.",1418812.0,https://valueact.com/,,,,,0
1791786,Elliott Investment,Paul Singer,Elliott Investment Management L.P.,,https://www.elliottmgmt.com/,,,,,0
1647251,The Children's Investment,Chris Hohn,TCI Fund Management Limited,,https://ciff.org/,,,,,0
1040273,Third Point,Daniel Loeb,Third Point LLC,,https://www.thirdpoint.com/,,,,,0
1510281,Saba Capital,Boaz Weinstein,"Saba Capital Management, L.P.",,https://www.sabacapital.com/,,,,,0
1871926,Nuveen,William Huffman,"Nuveen, LLC",,https://www.nuveen.com/,,,,,0
1029160,Soros Fund Management,George Soros,Soros Fund Management LLC,,https://sorosfundmgmt.com/,,,,,0
1166559,Gates Foundation Trust,Bill Gates,Gates Foundation Trust,,https://www.gatesfoundation.org/about/financials/foundation-trust,,,,,0
921669,Icahn Enterprises,Carl Icahn,Carl C. Icahn,,https://www.ielp.com/,,,,,0
1697868,Valley Forge Capital Management,Dev Kantesaria,"Valley Forge Capital Management, LP",,https://www.valleyforgecapital.com/,,,,,0
1508097,Sanders Capital,Lewis Sanders,"Sanders Capital, LLC",,https://www.sanderscapital.com/,,,,,0
1541617,Altimeter Capital Management,Brad Gerstner,"Altimeter Capital Management, LP",,https://www.altimeter.com/,,,,,0
1103804,Viking Global Investors,Andreas Halvorsen,Viking Global Investors LP,,https://vikingglobal.com/,,,,,0
923093,Tudor Investment Corporation,Paul Tudor Jones,Tudor Investment Corporation,,https://www.tudorfunds.com/,,,,,0
1036325,Davis Advisors,Chris Davis,Davis Selected Advisers,,https://davisfunds.com/,,,,,0
1513193,Arbiter Partners,Paul Isaac,Arbiter Partners Capital Management LLC,,https://arbiterpartners.net/,,,,,0
1105838,Robotti Value Investors,Robert Robotti,Robotti Robert,,https://www.robotti.com/,,,,,0
820027,Ameriprise Financial,Jim Cracchiolo,"Ameriprise Financial, Inc.",,https://www.ameriprise.com/,,,,,0
1709323,Himalaya Capital Management,Li Lu,Himalaya Capital Management LLC,,https://www.himcap.com/,李录,李录,Himalaya Capital founder. Munger's disciple.,喜马拉雅资本创始人。查理·芒格的门生，专注于亚洲和美国市场的长期价值挖掘。,90
1389403,Chou Associates,Francis Chou,Chou Associates Management Inc.,,https://www.choufunds.com/,,,,,0
1453072,Alyeska Investment Group,Anand Parekh,"Alyeska Investment Group, L.P.",,https://alyeskagroup.com/,,,,,0
850529,Fisher Asset Management,Ken Fisher,"Fisher Asset Management, LLC",,https://www.fisherinvestments.com/,,,,,0
1016287,Matrix Asset Advisors,David Katz,Matrix Asset Advisors Inc/NY,,https://matrixassetadvisors.com/,,,,,0
934639,Maverick Capital,Lee Ainslie,"Maverick Capital, Ltd.",,https://www.maverickcap.com/,,,,,0
1510387,Gotham Funds,Joel Greenblatt,"Gotham Asset Management, LLC",,https://www.gothamfunds.com/,,,,,0
1698218,Ritholtz Wealth Management,Barry Ritholtz,Ritholtz Wealth Management,,https://www.ritholtzwealth.com/,,,,,0
1214822,Steadfast Capital Management,Robert Pitts,Steadfast Capital Management LP,,https://www.steadfast.com/,,,,,0
1035674,Paulson & Co.,John Paulson,Paulson & Co. Inc.,,https://paulsonco.com/,,,,,0
1352662,GMO,Jeremy Grantham,"Grantham, Mayo, Van Otterloo & Co. LLC",,https://www.gmo.com/,,,,,0
1318757,Marshall Wace,Paul Marshall & Ian Wace,"Marshall Wace, LLP",,https://www.mwam.com/,,,,,0
1104329,Crosslink Capital,Seymour Kaufman,"Crosslink Capital, Inc.",,https://www.crosslinkcapital.com/,,,,,0
807249,GAMCO Investors,Mario Gabelli,GAMCO Asset Management Inc.,,https://gabelli.com/,,,,,0
